coef,feature1,feature2,threshold
0.9990125478000113,analyses/RWR/rwr_all_weights.tif,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9999796122790022,analyses/RWR/rwr_all_weights.tif,analyses/ILP/ilp_all_weights.tif,"(0.0, 0.1, 0.0, 0.1)"
0.964212902941866,analyses/RWR/rwr_all_weights.tif,analyses/RWR/rwr_es.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9642611482464976,analyses/RWR/rwr_all_weights.tif,analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es.rank.compressed.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9638546691930028,analyses/RWR/rwr_all_weights.tif,analyses/ILP/ilp_es.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9726386302394251,analyses/RWR/rwr_all_weights.tif,analyses/RWR/rwr_bd.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9725027607177744,analyses/RWR/rwr_all_weights.tif,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd.rank.compressed.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9726422648681491,analyses/RWR/rwr_all_weights.tif,analyses/ILP/ilp_bd.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9990139038807281,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,analyses/ILP/ilp_all_weights.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9646499478771652,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,analyses/RWR/rwr_es.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9646963076857134,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es.rank.compressed.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9642066874032927,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,analyses/ILP/ilp_es.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9722777913262362,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,analyses/RWR/rwr_bd.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9721680704397645,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd.rank.compressed.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9722815431776354,analyses/zonation/priocomp/04_abf_wgt/04_abf_wgt_out/04_abf_wgt.rank.compressed.tif,analyses/ILP/ilp_bd.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9642262132907551,analyses/ILP/ilp_all_weights.tif,analyses/RWR/rwr_es.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9642743402003623,analyses/ILP/ilp_all_weights.tif,analyses/zonation/priocomp/06_abf_es/06_abf_es_out/06_abf_es.rank.compressed.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9638664057744364,analyses/ILP/ilp_all_weights.tif,analyses/ILP/ilp_es.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9726464552269678,analyses/ILP/ilp_all_weights.tif,analyses/RWR/rwr_bd.tif,"(0.0, 0.1, 0.0, 0.1)"
0.9725105832587582,analyses/ILP/ilp_all_weights.tif,analyses/zonation/priocomp/08_abf_bd/08_abf_bd_out/08_abf_bd.rank.compressed.tif,"(0.0, 0.1, 0.0, 0.1)"
