2016-06-09 16:25:14 [ol_normalize_data] [DEBUG]  [20/771] Reading in data and OL normalizing
2016-06-09 16:25:14 [ol_normalize_data] [DEBUG]  [20/771] Summing values
2016-06-09 16:25:14 [ol_normalize_data] [INFO ]  [21/771] Processing raster data/processed/features/udr/european_tetrapods/birds/acrocephalus_scirpaceus.tif
2016-06-09 16:25:14 [ol_normalize_data] [DEBUG]  [21/771] Reading in data and OL normalizing
2016-06-09 16:25:14 [ol_normalize_data] [DEBUG]  [21/771] Summing values
2016-06-09 16:25:15 [ol_normalize_data] [INFO ]  [22/771] Processing raster data/processed/features/udr/european_tetrapods/birds/actitis_hypoleucos.tif
2016-06-09 16:25:15 [ol_normalize_data] [DEBUG]  [22/771] Reading in data and OL normalizing
2016-06-09 16:25:15 [ol_normalize_data] [DEBUG]  [22/771] Summing values
2016-06-09 16:25:15 [ol_normalize_data] [INFO ]  [23/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aegithalos_caudatus.tif
2016-06-09 16:25:15 [ol_normalize_data] [DEBUG]  [23/771] Reading in data and OL normalizing
2016-06-09 16:25:15 [ol_normalize_data] [DEBUG]  [23/771] Summing values
2016-06-09 16:25:15 [ol_normalize_data] [INFO ]  [24/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aegolius_funereus.tif
2016-06-09 16:25:15 [ol_normalize_data] [DEBUG]  [24/771] Reading in data and OL normalizing
2016-06-09 16:25:16 [ol_normalize_data] [DEBUG]  [24/771] Summing values
2016-06-09 16:25:16 [ol_normalize_data] [INFO ]  [25/771] Processing raster data/processed/features/udr/european_tetrapods/birds/aegypius_monachus.tif
2016-06-09 16:25:16 [ol_normalize_data] [DEBUG]  [25/771] Reading in data and OL normalizing
2016-06-09 16:25:16 [ol_normalize_data] [DEBUG]  [25/771] Summing values
2016-06-09 16:25:16 [ol_normalize_data] [INFO ]  [26/771] Processing raster data/processed/features/udr/european_tetrapods/birds/alauda_arvensis.tif
2016-06-09 16:25:16 [ol_normalize_data] [DEBUG]  [26/771] Reading in data and OL normalizing
2016-06-09 16:25:17 [ol_normalize_data] [DEBUG]  [26/771] Summing values
2016-06-09 16:25:17 [ol_normalize_data] [INFO ]  [27/771] Processing raster data/processed/features/udr/european_tetrapods/birds/alca_torda.tif
2016-06-09 16:25:17 [ol_normalize_data] [DEBUG]  [27/771] Reading in data and OL normalizing
2016-06-09 16:25:17 [ol_normalize_data] [DEBUG]  [27/771] Summing values
2016-06-09 16:25:17 [ol_normalize_data] [INFO ]  [28/771] Processing raster data/processed/features/udr/european_tetrapods/birds/alcedo_atthis.tif
2016-06-09 16:25:17 [ol_normalize_data] [DEBUG]  [28/771] Reading in data and OL normalizing
2016-06-09 16:25:17 [ol_normalize_data] [DEBUG]  [28/771] Summing values
2016-06-09 16:25:17 [ol_normalize_data] [INFO ]  [29/771] Processing raster data/processed/features/udr/european_tetrapods/birds/alectoris_barbara.tif
2016-06-09 16:25:17 [ol_normalize_data] [DEBUG]  [29/771] Reading in data and OL normalizing
2016-06-09 16:25:18 [ol_normalize_data] [DEBUG]  [29/771] Summing values
2016-06-09 16:25:18 [ol_normalize_data] [INFO ]  [30/771] Processing raster data/processed/features/udr/european_tetrapods/birds/alectoris_chukar.tif
2016-06-09 16:25:18 [ol_normalize_data] [DEBUG]  [30/771] Reading in data and OL normalizing
2016-06-09 16:25:18 [ol_normalize_data] [DEBUG]  [30/771] Summing values
2016-06-09 16:25:18 [ol_normalize_data] [INFO ]  [31/771] Processing raster data/processed/features/udr/european_tetrapods/birds/alectoris_graeca.tif
2016-06-09 16:25:18 [ol_normalize_data] [DEBUG]  [31/771] Reading in data and OL normalizing
2016-06-09 16:25:18 [ol_normalize_data] [DEBUG]  [31/771] Summing values
2016-06-09 16:25:19 [ol_normalize_data] [INFO ]  [32/771] Processing raster data/processed/features/udr/european_tetrapods/birds/alectoris_rufa.tif
2016-06-09 16:25:19 [ol_normalize_data] [DEBUG]  [32/771] Reading in data and OL normalizing
2016-06-09 16:25:19 [ol_normalize_data] [DEBUG]  [32/771] Summing values
2016-06-09 16:25:19 [ol_normalize_data] [INFO ]  [33/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anas_acuta.tif
2016-06-09 16:25:19 [ol_normalize_data] [DEBUG]  [33/771] Reading in data and OL normalizing
2016-06-09 16:25:19 [ol_normalize_data] [DEBUG]  [33/771] Summing values
2016-06-09 16:25:19 [ol_normalize_data] [INFO ]  [34/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anas_clypeata.tif
2016-06-09 16:25:19 [ol_normalize_data] [DEBUG]  [34/771] Reading in data and OL normalizing
2016-06-09 16:25:20 [ol_normalize_data] [DEBUG]  [34/771] Summing values
2016-06-09 16:25:20 [ol_normalize_data] [INFO ]  [35/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anas_crecca.tif
2016-06-09 16:25:20 [ol_normalize_data] [DEBUG]  [35/771] Reading in data and OL normalizing
2016-06-09 16:25:20 [ol_normalize_data] [DEBUG]  [35/771] Summing values
2016-06-09 16:25:20 [ol_normalize_data] [INFO ]  [36/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anas_penelope.tif
2016-06-09 16:25:20 [ol_normalize_data] [DEBUG]  [36/771] Reading in data and OL normalizing
2016-06-09 16:25:20 [ol_normalize_data] [DEBUG]  [36/771] Summing values
2016-06-09 16:25:21 [ol_normalize_data] [INFO ]  [37/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anas_platyrhynchos.tif
2016-06-09 16:25:21 [ol_normalize_data] [DEBUG]  [37/771] Reading in data and OL normalizing
2016-06-09 16:25:21 [ol_normalize_data] [DEBUG]  [37/771] Summing values
2016-06-09 16:25:21 [ol_normalize_data] [INFO ]  [38/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anas_querquedula.tif
2016-06-09 16:25:21 [ol_normalize_data] [DEBUG]  [38/771] Reading in data and OL normalizing
2016-06-09 16:25:21 [ol_normalize_data] [DEBUG]  [38/771] Summing values
2016-06-09 16:25:21 [ol_normalize_data] [INFO ]  [39/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anas_strepera.tif
2016-06-09 16:25:21 [ol_normalize_data] [DEBUG]  [39/771] Reading in data and OL normalizing
2016-06-09 16:25:22 [ol_normalize_data] [DEBUG]  [39/771] Summing values
2016-06-09 16:25:22 [ol_normalize_data] [INFO ]  [40/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anser_anser.tif
2016-06-09 16:25:22 [ol_normalize_data] [DEBUG]  [40/771] Reading in data and OL normalizing
2016-06-09 16:25:22 [ol_normalize_data] [DEBUG]  [40/771] Summing values
2016-06-09 16:25:22 [ol_normalize_data] [INFO ]  [41/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anser_brachyrhynchus.tif
2016-06-09 16:25:22 [ol_normalize_data] [DEBUG]  [41/771] Reading in data and OL normalizing
2016-06-09 16:25:22 [ol_normalize_data] [DEBUG]  [41/771] Summing values
2016-06-09 16:25:23 [ol_normalize_data] [INFO ]  [42/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anser_erythropus.tif
2016-06-09 16:25:23 [ol_normalize_data] [DEBUG]  [42/771] Reading in data and OL normalizing
2016-06-09 16:25:23 [ol_normalize_data] [DEBUG]  [42/771] Summing values
2016-06-09 16:25:23 [ol_normalize_data] [INFO ]  [43/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anser_fabalis.tif
2016-06-09 16:25:23 [ol_normalize_data] [DEBUG]  [43/771] Reading in data and OL normalizing
2016-06-09 16:25:23 [ol_normalize_data] [DEBUG]  [43/771] Summing values
2016-06-09 16:25:23 [ol_normalize_data] [INFO ]  [44/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anthus_campestris.tif
2016-06-09 16:25:23 [ol_normalize_data] [DEBUG]  [44/771] Reading in data and OL normalizing
2016-06-09 16:25:24 [ol_normalize_data] [DEBUG]  [44/771] Summing values
2016-06-09 16:25:24 [ol_normalize_data] [INFO ]  [45/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anthus_cervinus.tif
2016-06-09 16:25:24 [ol_normalize_data] [DEBUG]  [45/771] Reading in data and OL normalizing
2016-06-09 16:25:24 [ol_normalize_data] [DEBUG]  [45/771] Summing values
2016-06-09 16:25:24 [ol_normalize_data] [INFO ]  [46/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anthus_petrosus.tif
2016-06-09 16:25:24 [ol_normalize_data] [DEBUG]  [46/771] Reading in data and OL normalizing
2016-06-09 16:25:24 [ol_normalize_data] [DEBUG]  [46/771] Summing values
2016-06-09 16:25:24 [ol_normalize_data] [INFO ]  [47/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anthus_pratensis.tif
2016-06-09 16:25:24 [ol_normalize_data] [DEBUG]  [47/771] Reading in data and OL normalizing
2016-06-09 16:25:25 [ol_normalize_data] [DEBUG]  [47/771] Summing values
2016-06-09 16:25:25 [ol_normalize_data] [INFO ]  [48/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anthus_spinoletta.tif
2016-06-09 16:25:25 [ol_normalize_data] [DEBUG]  [48/771] Reading in data and OL normalizing
2016-06-09 16:25:25 [ol_normalize_data] [DEBUG]  [48/771] Summing values
2016-06-09 16:25:25 [ol_normalize_data] [INFO ]  [49/771] Processing raster data/processed/features/udr/european_tetrapods/birds/anthus_trivialis.tif
2016-06-09 16:25:25 [ol_normalize_data] [DEBUG]  [49/771] Reading in data and OL normalizing
2016-06-09 16:25:26 [ol_normalize_data] [DEBUG]  [49/771] Summing values
2016-06-09 16:25:26 [ol_normalize_data] [INFO ]  [50/771] Processing raster data/processed/features/udr/european_tetrapods/birds/apus_apus.tif
2016-06-09 16:25:26 [ol_normalize_data] [DEBUG]  [50/771] Reading in data and OL normalizing
2016-06-09 16:25:26 [ol_normalize_data] [DEBUG]  [50/771] Summing values
2016-06-09 16:25:26 [ol_normalize_data] [INFO ]  [51/771] Processing raster data/processed/features/udr/european_tetrapods/birds/apus_caffer.tif
